Countries,Public Holidays,ThresHold
Cambodia,15,Medium
China,6,Low
Hong Kong,17,Medium
India,14,Medium
Indonesia,18,High
Japan,18,High
Korea,12,Medium
Malaysia,14,Medium
Mongolia,8,Low
Myanmar,17,Medium
Philippines,18,High
Singapore,11,Medium
Taiwan,10,Medium
Thailand,16,Medium
Vietnam,6,Low
